ts_code,symbol,name,area,industry,list_date
000001.SZ,1,平安银行,深圳,银行,19910403
000002.SZ,2,万科Ａ,深圳,全国地产,19910129
000006.SZ,6,深振业Ａ,深圳,区域地产,19920427
000007.SZ,7,全新好,深圳,其他商业,19920413
000008.SZ,8,神州高铁,北京,运输设备,19920507
000009.SZ,9,中国宝安,深圳,电气设备,19910625
000011.SZ,11,深物业A,深圳,房产服务,19920330
000012.SZ,12,南玻Ａ,深圳,玻璃,19920228
000014.SZ,14,沙河股份,深圳,全国地产,19920602
000017.SZ,17,深中华A,深圳,服饰,19920331
000019.SZ,19,深粮控股,深圳,农业综合,19921012
000020.SZ,20,深华发Ａ,深圳,元器件,19920428
000021.SZ,21,深科技,深圳,元器件,19940202
001872.SZ,1872,招商港口,深圳,港口,19930505
000025.SZ,25,特力Ａ,深圳,综合类,19930621
000026.SZ,26,飞亚达,深圳,服饰,19930603
000027.SZ,27,深圳能源,深圳,火力发电,19930903
000028.SZ,28,国药一致,深圳,医药商业,19930809
000029.SZ,29,深深房Ａ,深圳,区域地产,19930915
000030.SZ,30,富奥股份,吉林,汽车配件,19930929
000031.SZ,31,大悦城,深圳,全国地产,19931008
000032.SZ,32,深桑达Ａ,深圳,建筑工程,19931028
000034.SZ,34,神州数码,深圳,软件服务,19940509
000035.SZ,35,中国天楹,江苏,环境保护,19940408
000036.SZ,36,华联控股,深圳,全国地产,19940617
000037.SZ,37,深南电A,深圳,火力发电,19940701
000039.SZ,39,中集集团,深圳,运输设备,19940408
000042.SZ,42,中洲控股,深圳,全国地产,19940921
001914.SZ,1914,招商积余,深圳,房产服务,19940928
000045.SZ,45,深纺织Ａ,深圳,元器件,19940815
000048.SZ,48,京基智农,深圳,农业综合,19941101
000049.SZ,49,德赛电池,深圳,电气设备,19950320
000050.SZ,50,深天马Ａ,深圳,元器件,19950315
000055.SZ,55,方大集团,深圳,其他建材,19960415
000058.SZ,58,深赛格,深圳,商品城,19961226
000059.SZ,59,华锦股份,辽宁,石油加工,19970130
000060.SZ,60,中金岭南,深圳,铅锌,19970123
000061.SZ,61,农产品,深圳,农业综合,19970110
000062.SZ,62,深圳华强,深圳,元器件,19970130
000063.SZ,63,中兴通讯,深圳,通信设备,19971118
000065.SZ,65,北方国际,北京,建筑工程,19980605
000066.SZ,66,中国长城,深圳,IT设备,19970626
000068.SZ,68,华控赛格,深圳,环境保护,19970611
000069.SZ,69,华侨城Ａ,深圳,全国地产,19970910
000070.SZ,70,特发信息,深圳,通信设备,20000511
000088.SZ,88,盐田港,深圳,港口,19970728
000089.SZ,89,深圳机场,深圳,机场,19980420
000090.SZ,90,天健集团,深圳,建筑工程,19990721
000096.SZ,96,广聚能源,深圳,石油贸易,20000724
000099.SZ,99,中信海直,深圳,空运,20000731
000100.SZ,100,TCL科技,广东,元器件,20040130
000151.SZ,151,中成股份,北京,商贸代理,20000906
000153.SZ,153,丰原药业,安徽,化学制药,20000920
000155.SZ,155,川能动力,四川,新型电力,20000926
000156.SZ,156,华数传媒,浙江,影视音像,20000906
000157.SZ,157,中联重科,湖南,工程机械,20001012
000158.SZ,158,常山北明,河北,软件服务,20000724
000159.SZ,159,国际实业,新疆,石油贸易,20000926
000301.SZ,301,东方盛虹,江苏,化纤,20000529
000400.SZ,400,许继电气,河南,电气设备,19970418
000401.SZ,401,金隅冀东,河北,水泥,19960614
000402.SZ,402,金融街,北京,全国地产,19960626
000403.SZ,403,派林生物,山西,生物制药,19960628
000404.SZ,404,长虹华意,江西,家用电器,19960619
000407.SZ,407,胜利股份,山东,供气供热,19960703
000408.SZ,408,藏格矿业,青海,农药化肥,19960628
000409.SZ,409,云鼎科技,山东,软件服务,19960627
000410.SZ,410,沈阳机床,辽宁,机床制造,19960718
000411.SZ,411,英特集团,浙江,医药商业,19960716
000415.SZ,415,渤海租赁,新疆,多元金融,19960716
000417.SZ,417,合百集团,安徽,百货,19960812
000419.SZ,419,通程控股,湖南,百货,19960816
000420.SZ,420,吉林化纤,吉林,化纤,19960802
000421.SZ,421,南京公用,江苏,供气供热,19960806
